564.88_997.00_997.00_652.15_0.00_899.52_985.45_0.00 19.577 10.054 1.947 0/0
836.76_0.00_997.00_830.21_118.68_997.00_0.00_148.96 19.737 8.081 2.442 0/0
997.00_290.23_0.00_386.05_481.97_997.00_913.79_0.00 19.363 7.696 2.516 0/0
764.57_0.00_997.00_42.87_658.62_997.00_0.00_644.31 18.650 9.251 2.016 0/0
0.00_833.81_997.00_75.33_752.08_0.00_631.96_997.00 19.588 10.413 1.881 0/0
997.00_432.23_670.02_0.00_0.00_312.37_772.23_997.00 18.613 8.651 2.151 0/0
706.53_0.00_0.00_628.57_637.94_997.00_997.00_488.49 18.036 7.801 2.312 0/0
554.22_0.00_997.00_484.46_0.00_466.70_508.95_997.00 18.872 7.923 2.382 0/0
492.56_997.00_0.00_411.14_997.00_598.36_291.96_0.00 18.629 7.977 2.335 0/0
0.00_386.39_997.00_168.44_756.69_997.00_266.95_0.00 18.478 7.307 2.529 0/0
657.99_997.00_600.41_0.00_0.00_131.90_997.00_31.63 18.322 7.988 2.294 0/0
932.44_997.00_997.00_157.42_543.86_0.00_0.00_770.38 18.186 8.248 2.205 0/0
0.00_233.60_994.66_0.00_279.04_997.00_997.00_250.23 19.232 7.592 2.533 0/0
0.00_227.47_496.13_0.00_587.13_997.00_997.00_559.70 17.349 7.722 2.247 0/0
780.19_0.00_997.00_117.95_0.00_820.08_734.20_997.00 18.708 10.047 1.862 0/0
383.40_997.00_252.67_0.00_0.00_977.40_997.00_292.26 18.428 8.577 2.148 0/0
0.00_941.41_911.67_997.00_997.00_382.27_402.49_0.00 18.780 7.975 2.355 0/0
39.37_0.00_997.00_171.74_900.77_997.00_0.00_276.98 20.216 8.060 2.508 0/0
557.57_0.00_0.00_897.67_616.41_997.00_997.00_137.03 18.638 7.894 2.361 0/0
997.00_120.41_903.27_997.00_985.63_0.00_0.00_503.40 20.403 10.359 1.970 0/0
305.98_997.00_0.00_458.78_952.30_0.00_997.00_662.94 17.912 7.532 2.378 0/0
997.00_124.71_0.00_767.67_280.67_997.00_485.77_0.00 16.784 8.025 2.092 0/0
507.85_997.00_997.00_766.71_270.23_0.00_0.00_685.53 17.600 7.797 2.257 0/0
0.00_79.24_997.00_24.48_342.57_0.00_7.94_997.00 21.638 11.625 1.861 0/0
266.19_0.00_0.00_201.02_974.53_997.00_997.00_368.61 17.148 7.952 2.156 0/0
997.00_46.23_0.00_167.75_301.17_997.00_822.23_0.00 20.213 7.774 2.600 0/0
44.08_997.00_0.00_599.39_997.00_111.35_923.25_0.00 17.869 8.791 2.033 0/0
624.10_0.00_803.98_997.00_997.00_858.04_0.00_988.22 18.687 8.681 2.153 0/0
997.00_854.82_472.17_997.00_0.00_61.82_246.79_0.00 18.368 9.170 2.003 0/0
133.32_0.00_545.88_997.00_0.00_827.87_997.00_381.96 18.387 8.073 2.278 0/0
359.26_997.00_118.19_0.00_0.00_550.07_997.00_174.24 19.106 8.909 2.145 0/0
0.00_755.34_133.47_997.00_896.74_0.00_997.00_516.84 18.592 9.089 2.046 0/0
517.86_997.00_0.00_62.15_997.00_275.91_117.82_0.00 19.186 7.417 2.587 0/0
787.72_997.00_553.31_0.00_0.00_111.37_997.00_792.43 18.037 8.693 2.075 0/0
0.00_677.64_997.00_617.16_395.19_997.00_697.52_0.00 18.170 8.970 2.026 0/0
0.00_713.42_490.09_997.00_124.64_0.00_997.00_331.76 18.963 8.533 2.222 0/0
997.00_615.66_0.00_26.40_894.86_0.00_108.36_997.00 18.530 8.020 2.310 0/0
0.00_685.03_355.74_0.00_997.00_473.64_65.44_997.00 19.071 7.809 2.442 0/0
0.00_701.54_671.54_997.00_42.10_0.00_997.00_948.36 18.840 8.731 2.158 0/0
970.95_997.00_997.00_694.68_46.12_0.00_0.00_152.61 18.493 9.115 2.029 0/0
997.00_286.28_333.67_0.00_877.88_997.00_0.00_804.19 19.186 8.545 2.245 0/0
997.00_924.56_177.69_997.00_0.00_21.73_154.67_0.00 20.331 8.826 2.304 0/0
0.00_291.18_287.58_997.00_997.00_89.40_348.25_0.00 19.375 7.830 2.474 0/0
0.00_911.21_121.82_997.00_687.46_0.00_997.00_335.63 19.978 10.348 1.931 0/0
997.00_763.17_0.00_467.54_80.44_997.00_290.88_0.00 18.243 7.880 2.315 0/0
0.00_245.54_44.65_0.00_925.60_997.00_997.00_535.57 18.284 9.092 2.011 0/0
997.00_88.22_317.32_997.00_203.50_0.00_0.00_932.12 18.312 7.812 2.344 0/0
319.43_0.00_298.96_997.00_997.00_990.88_0.00_984.96 20.115 9.336 2.154 0/0
15.22_997.00_997.00_8.56_0.00_516.66_764.63_0.00 18.232 9.039 2.017 0/0
241.30_997.00_0.00_81.22_48.27_0.00_997.00_895.61 20.330 10.406 1.954 0/0
166.33_997.00_975.39_0.00_997.00_685.09_0.00_812.65 19.258 8.646 2.227 0/0
700.83_997.00_618.71_0.00_997.00_543.31_0.00_769.12 18.801 9.198 2.044 0/0
61.70_997.00_467.16_0.00_0.00_559.10_997.00_556.47 19.222 9.611 2.000 0/0
564.60_997.00_485.22_0.00_997.00_216.21_0.00_279.30 18.001 8.274 2.176 0/0
681.87_0.00_0.00_337.40_896.13_997.00_997.00_465.15 18.545 8.313 2.231 0/0
997.00_477.99_0.00_772.59_56.99_0.00_671.10_997.00 18.250 7.590 2.404 0/0
788.58_0.00_340.79_997.00_0.00_828.36_997.00_690.72 16.805 8.215 2.046 0/0
997.00_519.08_0.00_60.78_499.44_997.00_685.37_0.00 18.725 7.526 2.488 0/0
0.00_1.20_731.60_0.00_766.26_997.00_997.00_140.84 19.647 9.259 2.122 0/0
509.04_997.00_0.00_550.75_997.00_208.99_732.28_0.00 17.913 7.619 2.351 0/0
903.68_997.00_0.00_309.72_146.82_0.00_997.00_383.11 17.381 8.334 2.086 0/0
3.78_997.00_455.34_0.00_997.00_470.03_0.00_589.34 18.879 7.539 2.504 0/0
0.00_776.42_997.00_408.39_813.22_997.00_100.21_0.00 18.101 8.300 2.181 0/0
709.27_997.00_997.00_512.07_0.00_489.96_589.52_0.00 17.970 7.709 2.331 0/0
0.00_937.51_825.11_0.00_997.00_147.33_668.37_997.00 17.401 8.860 1.964 0/0
0.00_63.73_380.23_997.00_513.46_0.00_997.00_450.45 18.131 8.016 2.262 0/0
997.00_860.96_262.01_997.00_0.00_948.68_227.50_0.00 20.356 10.610 1.919 0/0
204.39_997.00_997.00_235.75_633.70_0.00_0.00_390.96 17.278 7.733 2.234 0/0
595.17_0.00_997.00_338.58_321.29_997.00_0.00_513.86 17.493 7.568 2.312 0/0
997.00_66.66_0.00_577.65_289.98_0.00_409.35_997.00 19.490 9.473 2.058 0/0
261.84_0.00_0.00_763.31_997.00_325.85_905.68_997.00 18.497 8.196 2.257 0/0
350.41_997.00_997.00_801.12_0.00_586.36_152.37_0.00 19.178 9.304 2.061 0/0
