0.00_263.35_997.00_16.52_312.63_997.00 17.109 9.566 1.789 0/0
782.59_0.00_997.00_808.24_631.45_997.00 11.630 14.241 0.817 -6/0
637.53_997.00_0.00_130.51_317.63_0.00 21.610 13.517 1.599 0/0
214.72_0.00_852.19_997.00_0.00_656.75 17.823 10.298 1.731 0/0
784.03_0.00_271.72_997.00_0.00_855.58 21.397 12.884 1.661 0/0
0.00_225.46_510.17_997.00_997.00_563.13 17.240 10.048 1.716 0/0
997.00_90.82_478.27_0.00_474.30_997.00 19.837 11.700 1.695 0/0
553.68_0.00_0.00_338.16_744.03_997.00 17.926 10.844 1.653 0/0
0.00_452.71_997.00_847.33_795.49_997.00 25.953 17.204 1.509 0/0
0.00_184.60_997.00_860.30_31.08_997.00 17.606 9.852 1.787 0/0
435.64_997.00_997.00_841.07_0.00_601.38 24.144 14.429 1.673 0/0
618.54_997.00_46.51_0.00_0.00_649.08 19.082 11.004 1.734 0/0
138.26_997.00_997.00_671.50_0.00_993.49 40.070 26.589 1.507 0/0
487.08_997.00_997.00_162.68_230.47_0.00 17.470 10.420 1.677 0/0
997.00_599.88_259.17_0.00_0.00_157.85 22.085 13.949 1.583 0/0
0.00_709.09_37.95_997.00_609.38_0.00 25.680 16.226 1.583 0/0
124.08_997.00_0.00_890.99_146.80_0.00 0.003 25.438 0.000 -6/0
994.30_0.00_499.69_997.00_0.00_756.58 18.335 9.985 1.836 0/0
284.01_997.00_262.93_0.00_997.00_994.83 18.537 10.695 1.733 0/0
997.00_655.17_508.43_0.00_0.00_729.07 16.983 9.692 1.752 0/0
744.24_0.00_790.75_997.00_997.00_191.84 28.601 18.512 1.545 0/0
823.48_997.00_997.00_244.83_497.78_0.00 19.655 11.706 1.679 0/0
930.82_997.00_0.00_172.61_997.00_483.71 18.333 10.652 1.721 0/0
249.29_0.00_997.00_694.61_479.90_997.00 18.452 10.336 1.785 0/0
475.55_997.00_324.60_0.00_997.00_622.75 18.248 10.275 1.776 0/0
906.08_0.00_253.75_997.00_0.00_212.00 17.249 10.035 1.719 0/0
0.00_194.30_997.00_791.73_641.44_0.00 17.855 10.564 1.690 0/0
995.30_997.00_997.00_101.24_578.42_0.00 23.800 15.222 1.564 0/0
53.23_997.00_173.51_0.00_997.00_174.14 17.640 10.164 1.736 0/0
386.81_0.00_825.85_997.00_997.00_938.35 25.716 15.711 1.637 0/0
769.96_997.00_0.00_947.70_997.00_49.38 18.047 9.890 1.825 0/0
359.61_997.00_997.00_288.81_0.00_829.15 20.709 12.276 1.687 0/0
901.36_997.00_0.00_93.90_997.00_182.34 17.215 9.729 1.769 0/0
431.04_997.00_997.00_700.31_0.00_964.00 35.573 25.148 1.415 0/0
0.00_422.39_997.00_48.79_392.07_997.00 17.125 9.761 1.755 0/0
0.00_398.62_476.26_997.00_91.85_0.00 24.810 15.908 1.560 0/0
695.20_997.00_997.00_185.18_730.58_0.00 27.645 17.677 1.564 0/0
0.00_827.18_997.00_639.80_229.73_0.00 16.855 9.602 1.755 0/0
