0.00_263.35_997.00_16.52_312.63_997.00 0.730 0.263 2.776 0/0
782.59_0.00_997.00_808.24_631.45_997.00 0.739 0.267 2.772 0/0
637.53_997.00_0.00_130.51_317.63_0.00 0.730 0.265 2.757 0/0
214.72_0.00_852.19_997.00_0.00_656.75 0.730 0.264 2.768 0/0
784.03_0.00_271.72_997.00_0.00_855.58 0.729 0.266 2.738 0/0
0.00_225.46_510.17_997.00_997.00_563.13 0.731 0.264 2.768 0/0
997.00_90.82_478.27_0.00_474.30_997.00 0.743 0.283 2.623 0/0
553.68_0.00_0.00_338.16_744.03_997.00 0.735 0.276 2.665 0/0
0.00_452.71_997.00_847.33_795.49_997.00 0.730 0.264 2.762 0/0
0.00_184.60_997.00_860.30_31.08_997.00 0.730 0.264 2.768 0/0
435.64_997.00_997.00_841.07_0.00_601.38 0.742 0.280 2.648 0/0
618.54_997.00_46.51_0.00_0.00_649.08 0.734 0.265 2.775 0/0
138.26_997.00_997.00_671.50_0.00_993.49 0.731 0.267 2.736 0/0
487.08_997.00_997.00_162.68_230.47_0.00 0.733 0.270 2.716 0/0
997.00_599.88_259.17_0.00_0.00_157.85 0.731 0.266 2.751 0/0
0.00_709.09_37.95_997.00_609.38_0.00 0.743 0.284 2.618 0/0
124.08_997.00_0.00_890.99_146.80_0.00 0.744 0.290 2.565 0/0
994.30_0.00_499.69_997.00_0.00_756.58 0.739 0.272 2.715 0/0
284.01_997.00_262.93_0.00_997.00_994.83 0.730 0.263 2.770 0/0
997.00_655.17_508.43_0.00_0.00_729.07 0.730 0.265 2.755 0/0
744.24_0.00_790.75_997.00_997.00_191.84 0.732 0.263 2.781 0/0
823.48_997.00_997.00_244.83_497.78_0.00 0.732 0.269 2.725 0/0
930.82_997.00_0.00_172.61_997.00_483.71 0.730 0.264 2.764 0/0
249.29_0.00_997.00_694.61_479.90_997.00 0.730 0.266 2.748 0/0
475.55_997.00_324.60_0.00_997.00_622.75 0.730 0.263 2.770 0/0
906.08_0.00_253.75_997.00_0.00_212.00 0.730 0.264 2.767 0/0
0.00_194.30_997.00_791.73_641.44_0.00 0.730 0.263 2.776 0/0
995.30_997.00_997.00_101.24_578.42_0.00 0.731 0.266 2.749 0/0
53.23_997.00_173.51_0.00_997.00_174.14 0.731 0.264 2.773 0/0
386.81_0.00_825.85_997.00_997.00_938.35 0.730 0.264 2.766 0/0
769.96_997.00_0.00_947.70_997.00_49.38 0.735 0.274 2.685 0/0
359.61_997.00_997.00_288.81_0.00_829.15 0.737 0.265 2.782 0/0
901.36_997.00_0.00_93.90_997.00_182.34 0.730 0.264 2.761 0/0
431.04_997.00_997.00_700.31_0.00_964.00 0.734 0.274 2.680 0/0
0.00_422.39_997.00_48.79_392.07_997.00 0.736 0.278 2.649 0/0
0.00_398.62_476.26_997.00_91.85_0.00 0.730 0.265 2.755 0/0
695.20_997.00_997.00_185.18_730.58_0.00 0.731 0.266 2.750 0/0
