564.88_997.00_997.00_652.15_0.00_899.52_985.45_0.00 1.019 0.352 2.892 0/0
836.76_0.00_997.00_830.21_118.68_997.00_0.00_148.96 1.019 0.350 2.912 0/0
997.00_290.23_0.00_386.05_481.97_997.00_913.79_0.00 1.019 0.352 2.898 0/0
764.57_0.00_997.00_42.87_658.62_997.00_0.00_644.31 1.042 0.381 2.738 0/0
0.00_833.81_997.00_75.33_752.08_0.00_631.96_997.00 1.016 0.348 2.922 0/0
997.00_432.23_670.02_0.00_0.00_312.37_772.23_997.00 1.019 0.352 2.896 0/0
706.53_0.00_0.00_628.57_637.94_997.00_997.00_488.49 1.017 0.349 2.914 0/0
554.22_0.00_997.00_484.46_0.00_466.70_508.95_997.00 1.017 0.348 2.919 0/0
492.56_997.00_0.00_411.14_997.00_598.36_291.96_0.00 1.016 0.348 2.918 0/0
0.00_386.39_997.00_168.44_756.69_997.00_266.95_0.00 1.020 0.346 2.945 0/0
657.99_997.00_600.41_0.00_0.00_131.90_997.00_31.63 1.015 0.347 2.921 0/0
932.44_997.00_997.00_157.42_543.86_0.00_0.00_770.38 1.018 0.350 2.908 0/0
0.00_233.60_994.66_0.00_279.04_997.00_997.00_250.23 1.014 0.346 2.929 0/0
0.00_227.47_496.13_0.00_587.13_997.00_997.00_559.70 1.022 0.358 2.855 0/0
780.19_0.00_997.00_117.95_0.00_820.08_734.20_997.00 1.032 0.373 2.768 0/0
383.40_997.00_252.67_0.00_0.00_977.40_997.00_292.26 1.018 0.347 2.932 0/0
0.00_941.41_911.67_997.00_997.00_382.27_402.49_0.00 1.017 0.350 2.909 0/0
39.37_0.00_997.00_171.74_900.77_997.00_0.00_276.98 1.019 0.347 2.933 0/0
557.57_0.00_0.00_897.67_616.41_997.00_997.00_137.03 1.015 0.347 2.924 0/0
997.00_120.41_903.27_997.00_985.63_0.00_0.00_503.40 1.020 0.349 2.920 0/0
305.98_997.00_0.00_458.78_952.30_0.00_997.00_662.94 1.016 0.348 2.919 0/0
997.00_124.71_0.00_767.67_280.67_997.00_485.77_0.00 1.016 0.347 2.924 0/0
507.85_997.00_997.00_766.71_270.23_0.00_0.00_685.53 1.025 0.359 2.857 0/0
0.00_79.24_997.00_24.48_342.57_0.00_7.94_997.00 1.023 0.354 2.890 0/0
266.19_0.00_0.00_201.02_974.53_997.00_997.00_368.61 1.021 0.357 2.862 0/0
997.00_46.23_0.00_167.75_301.17_997.00_822.23_0.00 1.015 0.347 2.924 0/0
44.08_997.00_0.00_599.39_997.00_111.35_923.25_0.00 1.025 0.361 2.837 0/0
624.10_0.00_803.98_997.00_997.00_858.04_0.00_988.22 1.016 0.347 2.925 0/0
997.00_854.82_472.17_997.00_0.00_61.82_246.79_0.00 1.028 0.363 2.836 0/0
133.32_0.00_545.88_997.00_0.00_827.87_997.00_381.96 1.015 0.350 2.899 0/0
359.26_997.00_118.19_0.00_0.00_550.07_997.00_174.24 1.015 0.347 2.923 0/0
0.00_755.34_133.47_997.00_896.74_0.00_997.00_516.84 1.019 0.352 2.896 0/0
517.86_997.00_0.00_62.15_997.00_275.91_117.82_0.00 1.015 0.348 2.921 0/0
787.72_997.00_553.31_0.00_0.00_111.37_997.00_792.43 1.015 0.347 2.923 0/0
0.00_677.64_997.00_617.16_395.19_997.00_697.52_0.00 1.014 0.347 2.921 0/0
0.00_713.42_490.09_997.00_124.64_0.00_997.00_331.76 1.020 0.355 2.870 0/0
997.00_615.66_0.00_26.40_894.86_0.00_108.36_997.00 1.029 0.347 2.962 0/0
0.00_685.03_355.74_0.00_997.00_473.64_65.44_997.00 1.016 0.348 2.918 0/0
0.00_701.54_671.54_997.00_42.10_0.00_997.00_948.36 1.021 0.354 2.886 0/0
970.95_997.00_997.00_694.68_46.12_0.00_0.00_152.61 1.031 0.368 2.798 0/0
997.00_286.28_333.67_0.00_877.88_997.00_0.00_804.19 1.020 0.354 2.882 0/0
997.00_924.56_177.69_997.00_0.00_21.73_154.67_0.00 1.021 0.353 2.892 0/0
0.00_291.18_287.58_997.00_997.00_89.40_348.25_0.00 1.017 0.349 2.912 0/0
0.00_911.21_121.82_997.00_687.46_0.00_997.00_335.63 1.039 0.374 2.780 0/0
997.00_763.17_0.00_467.54_80.44_997.00_290.88_0.00 1.015 0.347 2.926 0/0
0.00_245.54_44.65_0.00_925.60_997.00_997.00_535.57 1.031 0.368 2.804 0/0
997.00_88.22_317.32_997.00_203.50_0.00_0.00_932.12 1.015 0.349 2.908 0/0
319.43_0.00_298.96_997.00_997.00_990.88_0.00_984.96 1.021 0.347 2.945 0/0
15.22_997.00_997.00_8.56_0.00_516.66_764.63_0.00 1.015 0.351 2.888 0/0
241.30_997.00_0.00_81.22_48.27_0.00_997.00_895.61 1.015 0.347 2.924 0/0
166.33_997.00_975.39_0.00_997.00_685.09_0.00_812.65 1.020 0.348 2.927 0/0
700.83_997.00_618.71_0.00_997.00_543.31_0.00_769.12 1.015 0.347 2.924 0/0
61.70_997.00_467.16_0.00_0.00_559.10_997.00_556.47 1.015 0.351 2.896 0/0
564.60_997.00_485.22_0.00_997.00_216.21_0.00_279.30 1.020 0.347 2.939 0/0
681.87_0.00_0.00_337.40_896.13_997.00_997.00_465.15 1.019 0.352 2.892 0/0
997.00_477.99_0.00_772.59_56.99_0.00_671.10_997.00 1.015 0.349 2.907 0/0
788.58_0.00_340.79_997.00_0.00_828.36_997.00_690.72 1.015 0.347 2.928 0/0
997.00_519.08_0.00_60.78_499.44_997.00_685.37_0.00 1.018 0.347 2.934 0/0
0.00_1.20_731.60_0.00_766.26_997.00_997.00_140.84 1.024 0.358 2.865 0/0
509.04_997.00_0.00_550.75_997.00_208.99_732.28_0.00 1.019 0.350 2.908 0/0
903.68_997.00_0.00_309.72_146.82_0.00_997.00_383.11 1.026 0.348 2.947 0/0
3.78_997.00_455.34_0.00_997.00_470.03_0.00_589.34 1.015 0.347 2.929 0/0
