0.00_263.35_997.00_16.52_312.63_997.00 18.950 7.839 2.417 0/0
782.59_0.00_997.00_808.24_631.45_997.00 18.120 8.045 2.252 0/0
637.53_997.00_0.00_130.51_317.63_0.00 17.070 8.339 2.047 0/0
214.72_0.00_852.19_997.00_0.00_656.75 18.767 8.097 2.318 0/0
784.03_0.00_271.72_997.00_0.00_855.58 17.328 8.558 2.025 0/0
0.00_225.46_510.17_997.00_997.00_563.13 18.350 7.638 2.403 0/0
997.00_90.82_478.27_0.00_474.30_997.00 17.927 8.031 2.232 0/0
553.68_0.00_0.00_338.16_744.03_997.00 18.366 8.357 2.198 0/0
0.00_452.71_997.00_847.33_795.49_997.00 18.573 9.569 1.941 0/0
0.00_184.60_997.00_860.30_31.08_997.00 18.640 7.441 2.505 0/0
435.64_997.00_997.00_841.07_0.00_601.38 19.530 9.686 2.016 0/0
618.54_997.00_46.51_0.00_0.00_649.08 19.736 9.203 2.145 0/0
138.26_997.00_997.00_671.50_0.00_993.49 23.637 12.286 1.924 0/0
487.08_997.00_997.00_162.68_230.47_0.00 18.023 7.935 2.272 0/0
997.00_599.88_259.17_0.00_0.00_157.85 18.531 9.738 1.903 0/0
0.00_709.09_37.95_997.00_609.38_0.00 17.873 9.160 1.951 0/0
124.08_997.00_0.00_890.99_146.80_0.00 17.270 8.345 2.070 0/0
994.30_0.00_499.69_997.00_0.00_756.58 16.892 8.032 2.103 0/0
284.01_997.00_262.93_0.00_997.00_994.83 20.164 9.509 2.120 0/0
997.00_655.17_508.43_0.00_0.00_729.07 19.087 7.809 2.444 0/0
744.24_0.00_790.75_997.00_997.00_191.84 18.417 8.460 2.177 0/0
823.48_997.00_997.00_244.83_497.78_0.00 19.116 8.328 2.296 0/0
930.82_997.00_0.00_172.61_997.00_483.71 17.554 8.197 2.142 0/0
249.29_0.00_997.00_694.61_479.90_997.00 17.498 7.448 2.349 0/0
475.55_997.00_324.60_0.00_997.00_622.75 18.237 7.859 2.321 0/0
906.08_0.00_253.75_997.00_0.00_212.00 20.049 8.138 2.464 0/0
0.00_194.30_997.00_791.73_641.44_0.00 19.140 8.659 2.210 0/0
995.30_997.00_997.00_101.24_578.42_0.00 18.169 8.148 2.230 0/0
53.23_997.00_173.51_0.00_997.00_174.14 19.766 8.016 2.466 0/0
386.81_0.00_825.85_997.00_997.00_938.35 20.816 11.083 1.878 0/0
769.96_997.00_0.00_947.70_997.00_49.38 19.844 9.253 2.145 0/0
359.61_997.00_997.00_288.81_0.00_829.15 18.205 9.411 1.935 0/0
901.36_997.00_0.00_93.90_997.00_182.34 19.272 7.733 2.492 0/0
431.04_997.00_997.00_700.31_0.00_964.00 19.559 10.576 1.849 0/0
