463.46_997.00_997.00_851.93_0.00_333.58_155.12_0.00_789.92_997.00 27.233 15.385 1.770 0/0
997.00_129.45_290.45_997.00_0.00_453.33_890.16_0.00_0.00_206.41 25.941 15.277 1.698 0/0
0.00_320.44_317.66_0.00_997.00_956.71_71.31_997.00_616.47_997.00 25.907 14.596 1.775 0/0
204.42_0.00_620.51_997.00_0.00_351.69_997.00_663.07_997.00_991.20 25.536 14.371 1.777 0/0
997.00_900.17_958.24_997.00_900.80_0.00_0.00_326.32_151.11_997.00 25.252 14.087 1.793 0/0
453.97_997.00_0.00_264.17_540.29_0.00_997.00_942.74_997.00_396.94 24.372 13.552 1.798 0/0
89.82_0.00_0.00_150.87_889.84_997.00_997.00_262.14_603.12_997.00 24.754 14.405 1.718 0/0
21.79_0.00_0.00_193.57_997.00_911.50_468.19_997.00_129.22_997.00 27.356 15.797 1.732 0/0
617.68_0.00_997.00_507.40_0.00_97.23_124.77_997.00_176.00_0.00 25.219 15.054 1.675 0/0
924.75_0.00_309.96_997.00_0.00_456.22_997.00_532.40_0.00_969.86 25.050 14.103 1.776 0/0
399.91_997.00_997.00_975.37_0.00_860.70_732.35_0.00_997.00_774.82 25.737 14.454 1.781 0/0
407.54_0.00_0.00_927.32_997.00_806.73_938.02_997.00_440.72_0.00 25.505 14.497 1.759 0/0
421.55_997.00_997.00_685.29_632.21_0.00_0.00_619.88_0.00_157.26 24.393 13.842 1.762 0/0
997.00_949.71_534.42_997.00_0.00_646.38_44.12_0.00_408.65_0.00 25.746 14.552 1.769 0/0
0.00_99.16_445.65_997.00_205.75_0.00_997.00_23.94_0.00_7.38 26.045 16.042 1.624 0/0
0.72_0.00_0.00_697.16_292.38_997.00_997.00_724.08_0.00_94.81 25.710 14.833 1.733 0/0
0.00_840.69_287.86_0.00_291.98_997.00_997.00_881.01_0.00_395.47 26.299 14.960 1.758 0/0
775.99_997.00_283.02_0.00_997.00_193.68_0.00_284.17_0.00_473.96 25.142 14.683 1.712 0/0
592.59_0.00_997.00_863.30_158.68_997.00_0.00_530.07_221.66_997.00 26.063 14.321 1.820 0/0
997.00_164.28_429.39_997.00_265.37_0.00_0.00_825.19_997.00_965.26 24.577 13.945 1.762 0/0
997.00_874.58_304.72_0.00_665.98_997.00_0.00_484.45_997.00_77.85 24.480 13.864 1.766 0/0
997.00_787.28_203.79_997.00_241.58_0.00_0.00_272.55_0.00_224.44 26.920 15.242 1.766 0/0
997.00_391.58_0.00_406.75_103.70_997.00_570.45_0.00_997.00_122.58 25.320 14.658 1.727 0/0
119.46_997.00_997.00_875.49_0.00_773.04_821.23_0.00_21.33_0.00 24.882 14.162 1.757 0/0
378.00_997.00_695.99_0.00_997.00_567.15_0.00_221.63_997.00_186.37 24.364 14.164 1.720 0/0
0.00_159.44_828.64_0.00_997.00_44.39_651.31_997.00_848.00_997.00 24.993 14.447 1.730 0/0
997.00_592.93_0.00_41.35_628.70_0.00_748.65_997.00_841.42_997.00 25.691 14.344 1.791 0/0
997.00_776.82_434.46_997.00_967.81_0.00_0.00_891.65_877.69_0.00 26.115 14.556 1.794 0/0
0.00_189.14_758.50_0.00_997.00_418.38_567.58_997.00_997.00_63.85 25.019 14.356 1.743 0/0
822.14_0.00_0.00_689.92_997.00_654.35_444.00_997.00_0.00_158.26 24.834 13.727 1.809 0/0
0.00_220.36_686.96_0.00_997.00_733.19_117.78_997.00_997.00_823.39 24.593 13.685 1.797 0/0
320.33_997.00_0.00_581.95_505.93_0.00_997.00_663.46_381.67_997.00 25.421 13.887 1.831 0/0
295.54_997.00_997.00_859.09_0.00_890.41_996.19_0.00_0.00_925.31 26.637 15.287 1.742 0/0
207.40_0.00_997.00_551.39_580.71_997.00_0.00_434.81_18.97_0.00 25.377 14.443 1.757 0/0
905.86_997.00_969.83_0.00_997.00_866.57_0.00_144.50_997.00_457.40 25.487 14.357 1.775 0/0
0.00_482.10_697.30_0.00_997.00_950.26_364.46_997.00_723.90_997.00 24.857 13.966 1.780 0/0
997.00_14.15_375.59_997.00_778.19_0.00_0.00_965.28_997.00_209.88 28.269 16.695 1.693 0/0
13.66_0.00_997.00_594.11_0.00_229.03_70.60_997.00_419.65_997.00 25.427 14.515 1.752 0/0
997.00_335.32_0.00_862.65_946.43_997.00_282.07_0.00_986.07_997.00 24.770 14.138 1.752 0/0
0.00_779.52_997.00_107.74_259.04_997.00_474.16_0.00_0.00_929.98 26.990 15.495 1.742 0/0
997.00_395.21_91.80_0.00_635.69_997.00_0.00_736.38_973.94_0.00 24.376 13.896 1.754 0/0
997.00_377.88_316.16_0.00_0.00_571.99_860.92_997.00_997.00_655.58 25.686 13.809 1.860 0/0
840.20_997.00_997.00_425.56_0.00_271.72_205.52_0.00_997.00_880.69 25.865 14.592 1.773 0/0
909.14_0.00_997.00_964.75_0.00_731.76_332.88_997.00_0.00_330.37 24.766 14.003 1.769 0/0
0.00_479.56_49.59_997.00_148.37_0.00_997.00_472.08_241.22_997.00 25.312 14.628 1.730 0/0
778.87_0.00_588.02_997.00_0.00_830.06_997.00_767.41_997.00_234.71 25.584 14.361 1.782 0/0
0.00_633.73_997.00_966.07_65.49_0.00_557.29_997.00_0.00_472.40 27.091 15.441 1.755 0/0
130.42_997.00_119.04_0.00_997.00_55.03_0.00_83.00_997.00_311.50 25.465 15.213 1.674 0/0
0.00_221.30_520.27_0.00_758.40_997.00_997.00_18.18_728.92_997.00 25.087 14.654 1.712 0/0
997.00_105.39_0.00_925.38_22.90_997.00_689.20_0.00_783.01_0.00 33.140 20.267 1.635 0/0
37.65_997.00_94.16_0.00_0.00_117.25_997.00_884.95_0.00_829.44 27.042 15.552 1.739 0/0
997.00_336.02_586.60_997.00_0.00_334.94_934.56_0.00_997.00_395.45 24.997 14.215 1.759 0/0
838.88_997.00_1.57_0.00_0.00_166.45_997.00_816.63_478.24_997.00 28.648 16.330 1.754 0/0
997.00_671.85_0.00_385.85_191.03_997.00_638.96_0.00_958.77_0.00 24.652 13.960 1.766 0/0
997.00_791.64_159.88_997.00_0.00_430.69_136.96_0.00_856.14_997.00 26.509 14.980 1.770 0/0
335.09_0.00_997.00_232.23_0.00_432.04_951.04_997.00_780.59_997.00 24.523 14.024 1.749 0/0
0.00_462.95_832.55_0.00_997.00_984.79_653.76_997.00_997.00_493.18 24.886 13.654 1.823 0/0
0.00_419.22_29.59_997.00_997.00_984.60_684.32_0.00_936.08_997.00 24.800 14.207 1.746 0/0
328.28_997.00_0.00_524.28_997.00_654.69_98.55_0.00_0.00_414.04 25.712 14.604 1.761 0/0
151.12_0.00_997.00_673.60_426.05_997.00_0.00_985.28_0.00_211.50 25.238 14.284 1.767 0/0
658.63_0.00_599.57_997.00_0.00_704.91_997.00_305.60_997.00_693.85 24.972 13.917 1.794 0/0
0.00_644.00_460.88_0.00_997.00_68.84_151.88_997.00_997.00_632.88 24.409 13.773 1.772 0/0
0.00_395.37_601.42_997.00_880.88_0.00_997.00_55.62_933.91_997.00 24.525 14.043 1.746 0/0
997.00_819.14_826.70_997.00_0.00_671.87_554.71_0.00_997.00_36.33 24.942 13.914 1.793 0/0
387.77_997.00_997.00_680.21_0.00_801.83_253.83_0.00_997.00_72.15 24.891 13.960 1.783 0/0
492.98_997.00_98.52_0.00_997.00_839.52_0.00_205.82_242.10_997.00 27.465 15.780 1.740 0/0
997.00_206.05_162.33_997.00_0.00_59.23_337.32_0.00_50.76_0.00 26.004 15.652 1.661 0/0
997.00_474.42_0.00_193.49_909.06_0.00_84.28_997.00_0.00_73.66 25.222 14.919 1.691 0/0
997.00_59.87_387.37_0.00_0.00_213.64_463.25_997.00_0.00_11.89 25.862 15.517 1.667 0/0
997.00_914.82_0.00_958.59_276.54_997.00_169.24_0.00_0.00_82.78 26.822 15.551 1.725 0/0
0.00_513.81_150.18_0.00_997.00_544.88_482.61_997.00_997.00_142.93 24.196 13.790 1.755 0/0
997.00_477.02_0.00_467.43_879.22_0.00_406.74_997.00_0.00_613.11 25.389 14.315 1.774 0/0
721.86_0.00_0.00_201.01_997.00_70.83_417.71_997.00_997.00_929.63 24.383 13.975 1.745 0/0
467.70_997.00_997.00_884.71_0.00_213.51_452.80_0.00_583.29_997.00 25.896 14.596 1.774 0/0
997.00_570.16_791.19_997.00_653.48_0.00_0.00_541.79_882.87_0.00 25.182 14.041 1.793 0/0
972.97_997.00_0.00_416.64_583.48_0.00_997.00_657.95_209.47_997.00 25.044 13.930 1.798 0/0
997.00_331.05_113.11_997.00_0.00_808.58_14.21_0.00_597.37_997.00 25.328 14.520 1.744 0/0
997.00_306.27_0.00_951.25_691.31_997.00_615.40_0.00_84.05_0.00 24.601 13.920 1.767 0/0
0.00_512.71_658.13_997.00_997.00_487.06_227.52_0.00_0.00_604.76 25.282 14.206 1.780 0/0
149.06_0.00_0.00_241.68_609.97_997.00_997.00_739.05_997.00_897.02 26.836 15.225 1.763 0/0
131.64_997.00_938.75_0.00_997.00_891.40_0.00_401.82_997.00_827.71 25.165 14.150 1.778 0/0
997.00_729.52_851.15_997.00_810.16_0.00_0.00_596.94_0.00_315.87 25.235 13.862 1.820 0/0
173.57_0.00_997.00_66.81_657.87_997.00_0.00_202.72_997.00_501.36 24.455 14.475 1.689 0/0
743.12_997.00_997.00_4.20_0.00_268.19_389.91_0.00_997.00_989.18 24.907 14.575 1.709 0/0
792.93_0.00_763.44_997.00_0.00_672.94_997.00_618.04_308.76_0.00 24.867 13.917 1.787 0/0
997.00_293.22_183.60_0.00_486.77_997.00_0.00_841.11_311.60_0.00 24.927 14.142 1.763 0/0
0.00_142.55_732.95_0.00_476.23_997.00_997.00_173.47_767.88_0.00 25.910 15.203 1.704 0/0
389.44_997.00_997.00_606.56_843.28_0.00_0.00_701.07_997.00_366.16 25.266 14.334 1.763 0/0
997.00_149.66_977.89_997.00_0.00_565.15_798.90_0.00_997.00_279.78 25.489 14.281 1.785 0/0
997.00_811.35_0.00_848.74_225.17_997.00_963.70_0.00_0.00_487.89 25.662 14.321 1.792 0/0
313.66_997.00_997.00_119.25_829.31_0.00_0.00_963.47_77.44_0.00 25.913 15.545 1.667 0/0
997.00_625.22_149.21_0.00_0.00_745.75_479.17_997.00_747.92_997.00 25.524 14.422 1.770 0/0
0.00_734.64_226.62_0.00_997.00_230.40_919.43_997.00_997.00_568.47 24.612 13.867 1.775 0/0
0.00_33.89_395.85_997.00_309.98_0.00_997.00_231.48_0.00_681.20 25.141 14.454 1.739 0/0
0.00_61.01_615.69_997.00_997.00_264.19_537.93_0.00_617.12_0.00 25.360 14.979 1.693 0/0
741.51_997.00_0.00_735.12_945.65_0.00_997.00_908.26_82.62_0.00 24.661 14.081 1.751 0/0
997.00_293.82_0.00_961.53_141.12_0.00_564.02_997.00_997.00_838.41 24.895 13.991 1.779 0/0
954.17_0.00_997.00_353.95_0.00_889.92_924.99_997.00_585.16_0.00 24.943 14.138 1.764 0/0
441.05_997.00_43.56_0.00_0.00_138.48_997.00_230.06_997.00_14.95 25.245 15.317 1.648 0/0
719.09_997.00_768.77_0.00_0.00_283.02_997.00_302.63_407.63_0.00 25.470 14.788 1.722 0/0
997.00_318.61_0.00_649.36_600.57_997.00_160.26_0.00_997.00_188.42 24.614 13.970 1.762 0/0
496.21_997.00_0.00_886.80_650.81_0.00_997.00_70.56_93.01_997.00 27.676 15.715 1.761 0/0
301.22_997.00_960.76_0.00_0.00_562.39_997.00_757.54_974.47_997.00 24.861 14.092 1.764 0/0
997.00_942.38_540.55_997.00_481.12_0.00_0.00_793.24_197.02_0.00 25.576 14.555 1.757 0/0
195.27_997.00_997.00_532.40_0.00_160.71_85.28_0.00_905.80_0.00 24.689 14.467 1.707 0/0
997.00_872.17_80.72_997.00_0.00_244.19_411.53_0.00_997.00_173.44 24.452 14.228 1.719 0/0
997.00_361.28_865.22_997.00_0.00_311.81_796.21_0.00_997.00_542.56 25.234 14.374 1.755 0/0
997.00_474.42_852.54_0.00_0.00_894.63_236.01_997.00_0.00_691.44 26.524 14.903 1.780 0/0
362.36_997.00_0.00_737.59_997.00_920.37_938.57_0.00_0.00_763.40 25.748 14.698 1.752 0/0
997.00_99.87_648.00_997.00_229.12_0.00_0.00_716.90_207.89_0.00 24.700 14.522 1.701 0/0
994.86_997.00_997.00_28.55_0.00_144.32_342.40_0.00_0.00_68.19 26.308 15.799 1.665 0/0
376.50_0.00_997.00_281.91_686.17_997.00_0.00_555.47_997.00_117.87 24.520 14.327 1.711 0/0
720.32_0.00_0.00_864.10_997.00_962.51_273.26_997.00_0.00_953.09 25.774 15.153 1.701 0/0
672.39_997.00_997.00_405.45_707.32_0.00_0.00_122.62_438.21_997.00 24.692 13.938 1.772 0/0
412.77_0.00_0.00_12.60_528.30_997.00_997.00_737.47_831.61_997.00 26.445 14.804 1.786 0/0
402.75_997.00_0.00_137.19_997.00_941.82_692.78_0.00_530.73_0.00 24.630 14.265 1.727 0/0
997.00_649.04_268.16_0.00_808.79_997.00_0.00_653.90_149.56_0.00 25.925 14.685 1.765 0/0
0.00_335.59_997.00_869.37_550.31_997.00_293.68_0.00_997.00_421.48 24.485 13.707 1.786 0/0
718.26_997.00_997.00_565.65_262.06_0.00_0.00_578.55_997.00_679.89 25.197 14.374 1.753 0/0
997.00_491.52_0.00_632.34_723.18_997.00_233.79_0.00_197.49_0.00 25.113 14.337 1.752 0/0
997.00_437.88_989.22_997.00_0.00_937.51_391.24_0.00_190.79_0.00 24.522 14.063 1.744 0/0
535.98_997.00_233.75_0.00_0.00_822.55_997.00_346.25_0.00_336.58 25.209 14.129 1.784 0/0
142.36_997.00_0.00_678.13_997.00_181.41_446.31_0.00_274.31_997.00 25.999 15.045 1.728 0/0
0.00_533.87_997.00_655.24_585.25_997.00_101.03_0.00_997.00_808.85 25.670 14.442 1.777 0/0
789.29_0.00_355.13_997.00_0.00_60.08_997.00_451.85_997.00_985.86 24.365 13.781 1.768 0/0
13.96_0.00_0.00_266.48_56.17_997.00_997.00_701.48_997.00_516.81 25.110 14.269 1.760 0/0
801.06_0.00_88.79_997.00_0.00_226.72_997.00_257.87_616.27_997.00 24.696 13.811 1.788 0/0
0.00_799.64_397.35_997.00_702.51_0.00_997.00_511.16_40.55_0.00 24.961 14.023 1.780 0/0
0.00_510.36_798.33_0.00_997.00_432.37_223.04_997.00_586.17_0.00 25.214 14.752 1.709 0/0
997.00_963.80_0.00_279.37_749.11_997.00_633.40_0.00_157.10_0.00 26.381 15.538 1.698 0/0
151.34_997.00_0.00_519.80_351.81_0.00_997.00_798.54_729.31_0.00 24.609 14.043 1.752 0/0
997.00_945.62_0.00_795.79_242.97_997.00_858.29_0.00_997.00_580.17 26.000 14.433 1.801 0/0
0.00_199.31_997.00_262.48_1.34_0.00_393.89_997.00_256.21_0.00 25.680 15.193 1.690 0/0
235.41_0.00_0.00_569.36_539.41_997.00_997.00_829.42_0.00_144.77 25.957 14.796 1.754 0/0
0.00_863.29_30.79_0.00_895.73_997.00_997.00_953.12_0.00_491.49 27.489 15.452 1.779 0/0
0.00_659.39_997.00_355.98_325.05_0.00_934.37_997.00_810.50_0.00 24.599 13.933 1.766 0/0
997.00_967.98_917.89_0.00_158.38_997.00_0.00_848.72_915.35_0.00 26.191 15.028 1.743 0/0
776.11_997.00_160.77_0.00_0.00_484.62_997.00_441.43_575.35_0.00 24.703 14.444 1.710 0/0
504.52_997.00_997.00_847.14_0.00_903.09_524.17_0.00_838.56_997.00 26.764 14.537 1.841 0/0
329.28_0.00_997.00_449.15_0.00_922.70_298.95_997.00_997.00_120.63 24.734 14.433 1.714 0/0
578.74_0.00_0.00_341.22_997.00_184.08_238.98_997.00_470.10_0.00 26.056 15.166 1.718 0/0
949.06_0.00_515.58_997.00_0.00_296.79_997.00_527.59_510.87_0.00 24.968 14.064 1.775 0/0
997.00_529.11_92.41_997.00_480.75_0.00_0.00_541.13_997.00_5.44 25.030 14.190 1.764 0/0
108.36_997.00_0.00_95.06_493.63_0.00_997.00_284.42_997.00_332.18 25.331 14.886 1.702 0/0
0.00_423.66_109.37_997.00_984.20_0.00_997.00_380.25_997.00_888.99 24.511 13.867 1.768 0/0
997.00_899.34_184.65_0.00_0.00_851.42_273.72_997.00_99.84_0.00 26.720 15.383 1.737 0/0
651.80_997.00_941.36_0.00_0.00_192.26_997.00_333.56_997.00_129.13 25.205 14.703 1.714 0/0
997.00_457.80_355.53_997.00_0.00_890.70_26.39_0.00_0.00_838.92 25.812 14.571 1.772 0/0
0.00_485.48_997.00_592.05_2.23_0.00_127.42_997.00_997.00_851.42 25.565 14.355 1.781 0/0
997.00_140.47_0.00_583.42_760.42_0.00_713.40_997.00_68.28_0.00 24.570 14.076 1.745 0/0
